Temps;temps_ms;Temps_acquisition;Ancre;X;Y;Z;Precision %;Temps_s;Position erreur
00:00:00.000;0;0;49A1;19.5;6.8;0.0;77;0.0;0.5
00:00:00.000;0;0;49A2;20.5;9.85;0.0;77;0.0;0.5
00:00:00.000;0;0;49A3;19.0;10.75;0.0;77;0.0;0.5
00:00:00.102;102;102;49A2;20.5;9.85;0.0;77;0.10264921188354492;0.5
00:00:00.103;103;103;49A3;19.0;10.75;0.0;77;0.10319900512695312;0.5
00:00:00.104;104;104;49A1;19.75;6.2;0.0;77;0.10458517074584961;0.5
00:00:00.203;203;203;49A2;20.5;9.85;0.0;77;0.20319914817810059;0.5
00:00:00.203;203;203;49A3;19.0;10.75;0.0;77;0.20387601852416992;0.5
00:00:00.205;205;205;49A1;19.75;6.2;0.0;77;0.20591044425964355;0.5
00:00:00.303;303;303;49A2;20.5;9.85;0.0;77;0.3037281036376953;0.5
00:00:00.304;304;304;49A3;19.0;10.75;0.0;77;0.3048391342163086;0.5
00:00:00.306;306;306;49A1;19.75;6.2;0.0;77;0.30652308464050293;0.5
00:00:00.404;404;404;49A2;20.5;9.85;0.0;77;0.4044308662414551;0.5
00:00:00.405;405;405;49A3;19.0;10.75;0.0;77;0.40517449378967285;0.5
00:00:00.407;407;407;49A1;19.75;6.2;0.0;77;0.4071674346923828;0.5
00:00:00.504;504;504;49A2;20.5;9.85;0.0;77;0.5048236846923828;0.5
00:00:00.505;505;505;49A3;19.0;10.75;0.0;77;0.5056571960449219;0.5
00:00:00.507;507;507;49A1;19.75;6.2;0.0;77;0.5074970722198486;0.5
00:00:00.605;605;605;49A2;20.5;9.85;0.0;77;0.6052048206329346;0.5
00:00:00.606;606;606;49A3;19.0;10.75;0.0;77;0.6060059070587158;0.5
00:00:00.607;607;607;49A1;19.75;6.2;0.0;77;0.6077795028686523;0.5
00:00:00.705;705;705;49A2;20.5;9.85;0.0;77;0.7057363986968994;0.5
00:00:00.706;706;706;49A3;18.95;10.75;0.0;77;0.7062997817993164;0.5
00:00:00.708;708;708;49A1;19.75;6.2;0.0;77;0.7080135345458984;0.5
00:00:00.806;806;806;49A2;20.5;9.85;0.0;77;0.8062930107116699;0.5
00:00:00.806;806;806;49A3;18.95;10.8;0.0;77;0.8068020343780518;0.5
00:00:00.808;808;808;49A1;19.75;6.2;0.0;77;0.808457612991333;0.5
00:00:00.906;906;906;49A2;20.5;9.85;0.0;77;0.9068365097045898;0.5
00:00:00.907;907;907;49A3;18.95;10.8;0.0;77;0.9074652194976807;0.5
00:00:00.908;908;908;49A1;19.7;6.15;0.0;77;0.908937931060791;0.5
00:00:01.007;1007;1007;49A2;20.5;9.85;0.0;77;1.007192850112915;0.5
00:00:01.008;1008;1008;49A3;18.9;10.85;0.0;77;1.0080878734588623;0.5
00:00:01.009;1009;1009;49A1;19.6;6.05;0.0;77;1.0094621181488037;0.5
00:00:01.107;1107;1107;49A2;20.5;9.85;0.0;77;1.1073873043060303;0.5
00:00:01.108;1108;1108;49A3;18.9;10.85;0.0;77;1.1085493564605713;0.5
00:00:01.110;1110;1110;49A1;19.05;6.2;0.0;77;1.1100261211395264;0.5
00:00:01.207;1207;1207;49A2;20.5;9.85;0.0;77;1.207693099975586;0.5
00:00:01.209;1209;1209;49A3;18.85;10.85;0.0;77;1.209294080734253;0.5
00:00:01.210;1210;1210;49A1;19.05;6.2;0.0;77;1.210381031036377;0.5
00:00:01.308;1308;1308;49A2;20.5;9.85;0.0;77;1.3083326816558838;0.5
00:00:01.309;1309;1309;49A3;18.8;10.9;0.0;77;1.309769630432129;0.5
00:00:01.310;1310;1310;49A1;19.05;6.2;0.0;77;1.310765266418457;0.5
00:00:01.408;1408;1408;49A2;20.5;9.85;0.0;77;1.40855073928833;0.5
00:00:01.410;1410;1410;49A3;18.75;10.95;0.0;77;1.4107379913330078;0.5
00:00:01.411;1411;1411;49A1;19.05;6.2;0.0;77;1.4111287593841553;0.5
00:00:01.508;1508;1508;49A2;20.5;9.85;0.0;77;1.5088067054748535;0.5
00:00:01.511;1511;1511;49A1;19.05;6.2;0.0;77;1.5118670463562012;0.5
00:00:01.511;1511;1511;49A3;18.7;10.95;0.0;77;1.5112073421478271;0.5
00:00:01.609;1609;1609;49A2;20.5;9.85;0.0;77;1.6094279289245605;0.5
00:00:01.611;1611;1611;49A3;18.7;11.0;0.0;77;1.6118097305297852;0.5
00:00:01.612;1612;1612;49A1;19.05;6.2;0.0;77;1.6120734214782715;0.5
00:00:01.710;1710;1710;49A2;20.5;9.85;0.0;77;1.7100632190704346;0.5
00:00:01.712;1712;1712;49A1;19.05;6.2;0.0;77;1.7123980522155762;0.5
00:00:01.712;1712;1712;49A3;18.65;11.0;0.0;77;1.712493658065796;0.5
00:00:01.810;1810;1810;49A2;20.5;9.85;0.0;77;1.8104467391967773;0.5
00:00:01.812;1812;1812;49A1;19.05;6.2;0.0;77;1.812736988067627;0.5
00:00:01.813;1813;1813;49A3;18.6;11.05;0.0;77;1.8132574558258057;0.5
00:00:01.910;1910;1910;49A2;20.5;9.85;0.0;77;1.9107248783111572;0.5
00:00:01.913;1913;1913;49A1;19.05;6.2;0.0;77;1.9131550788879395;0.5
00:00:01.913;1913;1913;49A3;18.55;11.1;0.0;77;1.9137184619903564;0.5
00:00:02.011;2011;2011;49A2;20.5;9.85;0.0;77;2.0110323429107666;0.5
00:00:02.013;2013;2013;49A1;19.05;6.2;0.0;77;2.013643503189087;0.5
00:00:02.014;2014;2014;49A3;18.45;11.15;0.0;77;2.0144269466400146;0.5
00:00:02.111;2111;2111;49A2;20.45;9.85;0.0;77;2.111441135406494;0.5
00:00:02.114;2114;2114;49A1;19.0;6.2;0.0;77;2.1143341064453125;0.5
00:00:02.114;2114;2114;49A3;18.4;11.15;0.0;77;2.114859104156494;0.5
00:00:02.211;2211;2211;49A2;20.45;9.85;0.0;77;2.2119476795196533;0.5
00:00:02.215;2215;2215;49A1;18.8;6.2;0.0;77;2.2151997089385986;0.5
00:00:02.215;2215;2215;49A3;18.35;11.2;0.0;77;2.215891122817993;0.5
00:00:02.312;2312;2312;49A2;20.4;9.85;0.0;77;2.3122432231903076;0.5
00:00:02.316;2316;2316;49A1;18.65;6.25;0.0;77;2.3160006999969482;0.5
00:00:02.316;2316;2316;49A3;18.3;11.2;0.0;77;2.3169267177581787;0.5
00:00:02.412;2412;2412;49A2;20.35;9.85;0.0;77;2.412733316421509;0.5
00:00:02.416;2416;2416;49A1;18.6;6.25;0.0;77;2.4169888496398926;0.5
00:00:02.417;2417;2417;49A3;18.25;11.2;0.0;77;2.4177470207214355;0.5
00:00:02.513;2513;2513;49A2;20.35;9.85;0.0;77;2.5136008262634277;0.5
00:00:02.517;2517;2517;49A1;18.55;6.25;0.0;77;2.5178682804107666;0.5
00:00:02.518;2518;2518;49A3;18.25;11.25;0.0;77;2.5189340114593506;0.5
00:00:02.614;2614;2614;49A2;20.35;9.85;0.0;77;2.6141464710235596;0.5
00:00:02.618;2618;2618;49A1;18.4;6.25;0.0;77;2.6184237003326416;0.5
00:00:02.620;2620;2620;49A3;18.2;11.25;0.0;77;2.620213508605957;0.5
00:00:02.714;2714;2714;49A2;20.3;9.85;0.0;77;2.714848041534424;0.5
00:00:02.719;2719;2719;49A1;18.2;6.3;0.0;77;2.719012498855591;0.5
00:00:02.720;2720;2720;49A3;18.15;11.3;0.0;77;2.7208633422851562;0.5
00:00:02.815;2815;2815;49A2;20.25;9.85;0.0;77;2.815531015396118;0.5
