Temps;temps_ms;Temps_acquisition;Ancre;X;Y;Z;Precision %;Temps_s;Position erreur
00:00:00.00;0;0;49A2;1.22;13.00;0.25;98;0.0;0.21999999999999997
00:00:00.100;100;100;49A2;0.97;13.02;-0.07;98;0.1;0.03605551275463968
00:00:00.200;200;100;49A2;0.86;13.03;0.14;99;0.2;0.1431782106327634
00:00:00.400;400;200;49A2;0.78;13.03;-0.23;98;0.4;0.22203603311174508
00:00:00.500;500;100;49A2;0.86;13.04;0.19;98;0.5;0.14560219778561015
00:00:00.600;600;100;49A2;0.81;13.05;0.40;98;0.6;0.19646882704388513
00:00:00.900;900;300;49A2;0.72;13.03;0.14;98;0.9;0.2816025568065744
00:00:01.200;1200;300;49A2;1.10;13.00;-0.40;98;1.2;0.10000000000000009
00:00:01.300;1300;100;49A2;0.88;13.02;-0.48;98;1.3;0.12165525060596433
00:00:01.400;1400;100;49A2;1.06;13.01;-0.67;98;1.4;0.06082762530298222
00:00:01.600;1600;200;49A2;0.80;13.03;-0.28;98;1.6;0.2022374841615667
00:00:01.700;1700;100;49A2;0.69;13.04;0.06;98;1.7;0.3125699921617556
00:00:01.800;1800;100;49A2;0.68;13.05;0.31;98;1.8;0.323882694814033
00:00:01.900;1900;100;49A2;0.90;13.04;0.01;98;1.9;0.10770329614268974
00:00:02.100;2100;200;49A2;1.17;13.01;-0.14;98;2.1;0.1702938636592639
00:00:02.200;2200;100;49A2;1.06;13.03;-0.44;98;2.2;0.06708203932499344
00:00:02.400;2400;200;49A2;0.57;13.05;-0.08;98;2.4;0.43289721643826734
00:00:02.500;2500;100;49A2;0.90;13.03;-0.18;98;2.5;0.1044030650891053
00:00:02.700;2700;200;49A2;0.75;13.05;0.21;98;2.7;0.25495097567963937
00:00:02.800;2800;100;49A2;0.66;13.06;0.43;98;2.8;0.3452535300326414
00:00:02.900;2900;100;49A2;0.64;13.05;0.64;98;2.9;0.36345563690772503
00:00:03.00;3000;100;49A2;0.84;13.04;0.15;98;3.0;0.16492422502470624
00:00:03.200;3200;200;49A2;0.71;13.05;0.67;98;3.2;0.29427877939124336
00:00:03.300;3300;100;49A2;0.92;13.04;0.81;98;3.3;0.08944271909999117
00:00:03.500;3500;200;49A2;1.12;13.01;0.46;99;3.5;0.12041594578792304
00:00:03.600;3600;100;49A2;1.18;13.00;0.46;99;3.6;0.17999999999999994
00:00:03.700;3700;100;49A2;0.85;13.02;0.18;98;3.7;0.15132745950421553
00:00:03.800;3800;100;49A2;0.76;13.04;0.35;98;3.8;0.24331050121192865
00:00:03.900;3900;100;49A2;1.09;13.02;-0.11;98;3.9;0.09219544457292887
00:00:04.00;4000;100;49A2;0.94;13.03;-0.40;98;4.0;0.06708203932499344
00:00:04.100;4100;100;49A2;1.08;13.02;-0.61;98;4.1;0.08246211251235318
00:00:04.300;4300;200;49A2;0.90;13.03;-0.36;98;4.3;0.1044030650891053
00:00:04.400;4400;100;49A2;1.15;13.01;-0.35;98;4.4;0.15033296378372898
00:00:04.610;4610;210;49A2;1.18;13.01;-0.67;98;4.61;0.1802775637731994
00:00:04.710;4710;100;49A2;1.09;13.00;-0.29;99;4.71;0.09000000000000008
00:00:04.810;4810;100;49A2;1.06;13.00;0.05;98;4.81;0.06000000000000005
00:00:04.910;4910;100;49A2;1.06;13.00;0.17;99;4.91;0.06000000000000005
00:00:05.10;5010;100;49A2;0.89;13.02;0.32;98;5.01;0.1118033988749894
00:00:05.110;5110;100;49A2;1.12;13.01;0.06;98;5.11;0.12041594578792304
00:00:05.410;5410;300;49A2;0.86;13.03;0.20;98;5.41;0.1431782106327634
00:00:05.510;5510;100;49A2;1.08;13.01;0.01;99;5.51;0.08062257748298554
00:00:05.610;5610;100;49A2;1.24;13.00;0.31;98;5.61;0.24
00:00:05.710;5710;100;49A2;1.04;13.02;-0.08;98;5.71;0.044721359549995635
00:00:05.810;5810;100;49A2;0.83;13.02;-0.15;99;5.81;0.1711724276862369
00:00:05.910;5910;100;49A2;0.66;13.04;0.26;98;5.91;0.34234485537247367
00:00:06.10;6010;100;49A2;0.76;13.04;0.42;99;6.01;0.24331050121192865
00:00:06.310;6310;300;49A2;0.84;13.04;0.53;98;6.31;0.16492422502470624
00:00:06.510;6510;200;49A2;0.91;13.03;-0.01;98;6.51;0.09486832980505115
00:00:06.710;6710;200;49A2;0.97;13.02;-0.41;98;6.71;0.03605551275463968
00:00:06.810;6810;100;49A2;0.91;13.03;0.01;98;6.81;0.09486832980505115
00:00:07.10;7010;200;49A2;0.79;13.05;0.56;98;7.01;0.21587033144922915
